id,company_id,rule_type,definition,date_created,last_updated
153,173,regex_and_mcc,"{""pattern"": ""KWIK SHOP"", ""mcc_code"": 5542}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
154,174,regex_and_mcc,"{""pattern"": ""LOAF N JUG"", ""mcc_code"": 5542}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
155,552,regex_and_mcc,"{""pattern"": ""SHELL"", ""mcc_code"": 5542}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
156,154,regex_and_mcc,"{""pattern"": ""USA GASOLINE"", ""mcc_code"": 5542}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
157,667,regex_and_mcc,"{""pattern"": ""TRACTOR SUPPLY"", ""mcc_code"": 5599}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
158,474,regex_and_mcc,"{""pattern"": ""COACH"", ""mcc_code"": 5631}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
159,41,regex_and_mcc,"{""pattern"": ""ATHLETA"", ""mcc_code"": 5651}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
160,40,regex_and_mcc,"{""pattern"": ""BANANA REPUBLIC"", ""mcc_code"": 5651}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
161,39,regex_and_mcc,"{""pattern"": ""GAP"", ""mcc_code"": 5651}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
162,32,regex_and_mcc,"{""pattern"": ""H&M"", ""mcc_code"": 5651}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
163,26,regex_and_mcc,"{""pattern"": ""HOME GOODS"", ""mcc_code"": 5651}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
164,25,regex_and_mcc,"{""pattern"": ""MARSHALLS"", ""mcc_code"": 5651}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
165,417,regex_and_mcc,"{""pattern"": ""URBAN OUTFITTERS"", ""mcc_code"": 5651}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
166,523,regex_and_mcc,"{""pattern"": ""ADIDAS"", ""mcc_code"": 5655}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
167,475,regex_and_mcc,"{""pattern"": ""COLUMBIA SPORTSWEAR"", ""mcc_code"": 5655}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
168,208,regex_and_mcc,"{""pattern"": ""NIKE"", ""mcc_code"": 5655}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
169,414,regex_and_mcc,"{""pattern"": ""DSW"", ""mcc_code"": 5661}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
